subject_id,workflow_id,task,reducer,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.gold_standard,data.user_ids,data.aggregation_version
63341190,18906,T0,text_reducer,"[['Yes', 'Yes', 'Yes', 'Yes']]",4.0,4.0,Yes,"[False, False, False, False]","[2017299.0, 2329370.0, 2000370.0, 1987828.0]",3.4.5
63341190,18906,T1,text_reducer,"[['71-74*F', '71-74*F', '71-74*F', '71-74*F.']]",4.0,3.0,71-74*F,"[False, False, False, False]","[2017299.0, 2329370.0, 2000370.0, 1987828.0]",3.4.5
63341190,18906,T2,text_reducer,"[['none', 'none', 'none', 'none']]",4.0,4.0,none,"[False, False, False, False]","[2017299.0, 2329370.0, 2000370.0, 1987828.0]",3.4.5
63341190,18906,T3,text_reducer,"[[""20'"", ""20'"", ""20'"", ""20'""], ['-', '-', '-', '-'], ['18.9*C', '18.9*C', '18.9*C', '18.9*C.']]",4.0,3.6666666666666665,20' - 18.9*C,"[False, False, False, False]","[2017299.0, 2329370.0, 2000370.0, 1987828.0]",3.4.5
63341190,18906,T4,text_reducer,"[['S.', 'S.', 'S.', 'S.'], ['10', '10', '10', '10'], ['ppm.', 'ppm.', 'ppm.', 'ppm.'], [""20'"", ""20'"", ""20'"", ""20'""], ['-', '', '-', '-'], ['3.8', '3.8', '3.8', '3.8']]",4.0,3.8333333333333335,S. 10 ppm. 20' - 3.8,"[False, False, False, False]","[2017299.0, 2329370.0, 2000370.0, 1987828.0]",3.4.5
63341190,18906,T5,text_reducer,"[['193.1', '193.1', '193.1', '193.1']]",4.0,4.0,193.1,"[False, False, False, False]","[2017299.0, 2329370.0, 2000370.0, 1987828.0]",3.4.5
63341190,18906,T6,text_reducer,"[['20', '20', '20', '20'], ['feet', 'feet', 'feet', 'feet']]",4.0,4.0,20 feet,"[False, False, False, False]","[2017299.0, 2329370.0, 2000370.0, 1987828.0]",3.4.5
63341190,18906,T7,text_reducer,"[['Secchi', 'Secchi', 'Secchi', 'Secchi'], ['disc', 'disc', 'disc', 'disc'], ['12', '12', '12', '12'], ['ft.', 'ft.', 'ft', 'ft.']]",4.0,3.75,Secchi disc 12 ft.,"[False, False, False, False]","[2017299.0, 2329370.0, 2000370.0, 1987828.0]",3.4.5
63341190,18906,T10,text_reducer,"[['mo', 'no', 'no', 'no'], ['pH', 'pH', 'pH', 'pH'], ['set', 'set', 'set', 'set'], ['available', 'available', 'available', 'available']]",4.0,3.75,no pH set available,"[False, False, False, False]","[2017299.0, 2329370.0, 2000370.0, 1987828.0]",3.4.5
63341190,18906,T11,text_reducer,"[['No', 'No', 'No', 'No']]",4.0,4.0,No,"[False, False, False, False]","[2017299.0, 2329370.0, 2000370.0, 1987828.0]",3.4.5
63341190,18906,T12,text_reducer,,,,,,,3.4.5
63341190,18906,T13,text_reducer,,,,,,,3.4.5
63341190,18906,T15,text_reducer,"[['Few', 'Few', 'Few', 'Few'], ['cottages', 'cottages', 'cottages', 'cottages'], ['for', 'for', 'for', 'for'], ['rent,', 'rent,', 'rent,', 'rent,'], ['in', 'in', 'in', 'in'], ['Barton', 'Barton', 'Barton', 'Barton'], ['City,', 'City,', 'City,', 'City,'], ['grocery', 'grocery', 'grocery', 'grocery'], ['store,', 'store,', 'store,', 'store,'], ['gas', 'gas', 'gas', 'gas'], ['station,', 'station,', 'station,', 'station,'], ['tavern.', 'tavern', 'tavern.', 'tavern.']]",4.0,3.9166666666666665,"Few cottages for rent, in Barton City, grocery store, gas station, tavern.","[False, False, False, False]","[2017299.0, 2329370.0, 2000370.0, 1987828.0]",3.4.5
63341191,18906,T0,text_reducer,"[['Yes', 'Yes', 'Yes', 'Yes']]",4.0,4.0,Yes,"[False, False, False, False]","[1915510.0, 2000370.0, 2324166.0, 2017299.0]",3.4.5
63341191,18906,T1,text_reducer,"[['26.1*C.', '26.1*C', '26.1°C.', '26.1*C.']]",4.0,2.0,26.1*C.,"[False, False, False, False]","[1915510.0, 2000370.0, 2324166.0, 2017299.0]",3.4.5
63341191,18906,T2,text_reducer,"[['24.8', '24.8', '', '24.8'], ['-', '-', '', '-'], ['11.2*C.', '11.2*C', '24.8-11.2°C.', '11.2*C']]",4.0,2.6666666666666665,24.8 - 11.2*C,"[False, False, False, False]","[1915510.0, 2000370.0, 2324166.0, 2017299.0]",3.4.5
63341191,18906,T3,text_reducer,"[['10.4*C.', '10.4*C', '10.4°C.', '10.4*C.']]",4.0,2.0,10.4*C.,"[False, False, False, False]","[1915510.0, 2000370.0, 2324166.0, 2017299.0]",3.4.5
63341191,18906,T4,text_reducer,"[['Surface', 'Surface', 'Surface', 'Surface'], ['7.8', '7.8', '7.8', '7.8,'], ['Thermocline', 'Thermocline', 'Thermocline', 'Thermocline'], ['0.7', '0.7', '0.7', '0.7,'], ['Bottom', 'Bottom', 'Bottom', 'Bottom'], ['0.0', '0.0', '0.0', '0.0']]",4.0,3.6666666666666665,Surface 7.8 Thermocline 0.7 Bottom 0.0,"[False, False, False, False]","[1915510.0, 2000370.0, 2324166.0, 2017299.0]",3.4.5
63341191,18906,T5,text_reducer,"[['215', '215', '215', '215']]",4.0,4.0,215,"[False, False, False, False]","[1915510.0, 2000370.0, 2324166.0, 2017299.0]",3.4.5
63341191,18906,T6,text_reducer,"[['51', '51', '51', '51'], ['ft.', 'ft.', 'ft.', 'ft.']]",4.0,4.0,51 ft.,"[False, False, False, False]","[1915510.0, 2000370.0, 2324166.0, 2017299.0]",3.4.5
63341191,18906,T7,text_reducer,"[['None', 'None', 'None', 'None']]",4.0,4.0,None,"[False, False, False, False]","[1915510.0, 2000370.0, 2324166.0, 2017299.0]",3.4.5
63341191,18906,T10,text_reducer,"[['8.4', '8.4', '8.4', '8.4'], ['surface', 'surface', 'surface', 'surface']]",4.0,4.0,8.4 surface,"[False, False, False, False]","[1915510.0, 2000370.0, 2324166.0, 2017299.0]",3.4.5
63341191,18906,T11,text_reducer,"[['No', 'No', 'No', 'No']]",4.0,4.0,No,"[False, False, False, False]","[1915510.0, 2000370.0, 2324166.0, 2017299.0]",3.4.5
63341191,18906,T12,text_reducer,,,,,,,3.4.5
63341191,18906,T13,text_reducer,,,,,,,3.4.5
63341191,18906,T15,text_reducer,,,,,,,3.4.5
63341193,18906,T0,text_reducer,"[['Open', '', 'Open', 'This'], ['', '', '', 'is'], ['to', '', 'to', 'for'], ['public', 'Public', 'public', 'public'], ['', '', '', 'fishing.']]",4.0,1.8,Open is to public fishing.,"[False, False, False, False]","[2329370.0, 2017299.0, 2000370.0, nan]",3.4.5
63341193,18906,T1,text_reducer,"[['', '', '', 'Temperature'], ['', '', '', 'is'], ['23.7*C', '23.7*C.', '23.7*C', '23.7*C'], ['(Warm)', '(Warm)', '(Warm)', 'at'], ['', '', '', 'the'], ['', '', '', 'surface.']]",4.0,1.6666666666666667,Temperature is 23.7*C (Warm) the surface.,"[False, False, False, False]","[2329370.0, 2017299.0, 2000370.0, nan]",3.4.5
63341193,18906,T2,text_reducer,"[['', '', '', 'There'], ['', '', '', 'is'], ['No', 'No', 'No', 'no'], ['true', 'true', 'true', 'true'], ['thermocline', 'thermocline', 'thermocline', 'thermocline.']]",4.0,2.4,There is No true thermocline,"[False, False, False, False]","[2329370.0, 2017299.0, 2000370.0, nan]",3.4.5
63341193,18906,T3,text_reducer,"[['', '', '', 'Temperature'], ['', '', '', 'is'], ['17.3*C', '17.3*C.', '17.3*C', '17.3*C'], ['', '', '', 'at'], ['', '', '', 'deep'], ['(Warm)', '(Warm)', '(Warm)', 'water.']]",4.0,1.6666666666666667,Temperature is 17.3*C at deep (Warm),"[False, False, False, False]","[2329370.0, 2017299.0, 2000370.0, nan]",3.4.5
63341193,18906,T4,text_reducer,"[['Surface-', '', 'Surface', 'Oxygen'], ['', '', '-', 'at'], ['', '', '', 'the'], ['', '', '', 'surface'], ['', '', '', 'is'], ['8.8', '0.0', '8.8', '8.8'], ['Bottom-', '', 'Bottom', 'and'], ['', '', '', 'at'], ['', '', '', 'the'], ['', '', '', 'bottom'], ['', '', '', 'is'], ['6.2', '', '6.2', '6.2.']]",4.0,1.25,Surface- - the surface is 8.8 Bottom- at the bottom is 6.2,"[False, False, False, False]","[2329370.0, 2017299.0, 2000370.0, nan]",3.4.5
63341193,18906,T5,text_reducer,"[['', '', '', 'The'], ['', '', '', 'size'], ['', '', '', 'is'], ['32.5', '32.5', '32.5', '32.5'], ['acres', '', '', 'acres.']]",4.0,1.6,The size is 32.5 acres,"[False, False, False, False]","[2329370.0, 2017299.0, 2000370.0, nan]",3.4.5
63341193,18906,T6,text_reducer,"[['34', '34', '34', 'The'], ['ft.', 'ft.', 'ft', 'maximum'], ['', '', '', 'depth'], ['', '', '', 'is'], ['', '', '', 'about'], ['', '', '', '2/3'], ['', '', '', 'of'], ['', '', '', 'lake'], ['', '', '', 'under'], ['', '', '', 'deep'], ['', '', '', 'water.']]",4.0,1.2727272727272727,34 ft. depth is about 2/3 of lake under deep water.,"[False, False, False, False]","[2329370.0, 2017299.0, 2000370.0, nan]",3.4.5
63341193,18906,T7,text_reducer,"[['Disc-', 'Disc', 'Dis', 'The'], ['', '-', '-', 'degree'], ['14', '14', '14', 'roughened'], ['', '', '', 'by'], ['ft.', 'ft.', 'ft.', 'storms'], ['', '', '', 'is'], ['', '', '', 'small.']]",4.0,1.7142857142857142,Disc- - 14 by ft. is small.,"[False, False, False, False]","[2329370.0, 2017299.0, 2000370.0, nan]",3.4.5
63341193,18906,T10,text_reducer,"[['pH', 'pH', 'pH', 'Alkalinity'], ['8.1', '81', '8.1', 'is'], ['', '', '', 'pH-th'], ['', '', '', '40'], ['(Moderate)', '(Moderate)', '(Moderate)', 'M.O.'], ['', '', '', '125.']]",4.0,1.8333333333333333,pH 8.1 pH-th 40 (Moderate) 125.,"[False, False, False, False]","[2329370.0, 2017299.0, 2000370.0, nan]",3.4.5
63341193,18906,T11,text_reducer,"[['', '', '', 'There'], ['', '', '', 'is'], ['No', 'No', 'No', 'no'], ['outlet', 'outlet', 'outlet', 'outlet'], ['', '', '', 'at'], ['', '', '', 'the'], ['', '', '', 'dam.']]",4.0,1.7142857142857142,There is No outlet at the dam.,"[False, False, False, False]","[2329370.0, 2017299.0, 2000370.0, nan]",3.4.5
63341193,18906,T12,text_reducer,,,,,,,3.4.5
63341193,18906,T13,text_reducer,"[['Whether'], ['the'], ['dam'], ['is'], ['passable'], ['for'], ['fish'], ['is'], ['questionable.']]",1.0,1.0,Whether the dam is passable for fish is questionable.,[False],[nan],3.4.5
63341193,18906,T15,text_reducer,,,,,,,3.4.5
63341194,18906,T0,text_reducer,"[['Yes', 'Yes', 'Yes', 'Private']]",4.0,3.0,Yes,"[False, False, False, False]","[2295748.0, 2128725.0, 2329370.0, 2017299.0]",3.4.5
63341194,18906,T1,text_reducer,"[['73*F.', '73*', '73*F', '73*F.'], ['', 'F.', '', '']]",4.0,1.5,73*F. F.,"[False, False, False, False]","[2295748.0, 2128725.0, 2329370.0, 2017299.0]",3.4.5
63341194,18906,T2,text_reducer,"[['None', 'None', 'None', 'None']]",4.0,4.0,None,"[False, False, False, False]","[2295748.0, 2128725.0, 2329370.0, 2017299.0]",3.4.5
63341194,18906,T3,text_reducer,"[[""6'"", ""6'"", '', ""6'""], ['-', '-', '', '-'], ['22.5*C', '22.5*C.', '6-22.5*C', '22.5*C']]",4.0,2.6666666666666665,6' - 22.5*C,"[False, False, False, False]","[2295748.0, 2128725.0, 2329370.0, 2017299.0]",3.4.5
63341194,18906,T4,text_reducer,"[['7.9', '7.9', '7.9', '7.9'], ['ppm', 'ppm.', 'ppm', 'ppm.']]",4.0,3.0,7.9 ppm,"[False, False, False, False]","[2295748.0, 2128725.0, 2329370.0, 2017299.0]",3.4.5
63341194,18906,T5,text_reducer,"[['11.25', '11.25', '11.25', '11.25'], ['a.', 'A.', 'A', '']]",4.0,2.5,11.25 a.,"[False, False, False, False]","[2295748.0, 2128725.0, 2329370.0, 2017299.0]",3.4.5
63341194,18906,T6,text_reducer,"[[""8'"", ""8'"", '8', ""8'""]]",4.0,3.0,8',"[False, False, False, False]","[2295748.0, 2128725.0, 2329370.0, 2017299.0]",3.4.5
63341194,18906,T7,text_reducer,"[['Secchi', 'Secchi', 'Secchi', 'Secchi'], ['Disk', 'Disc', 'Disc', 'Disc'], [""6'"", ""6'"", '6', ""6'""]]",4.0,3.3333333333333335,Secchi Disc 6',"[False, False, False, False]","[2295748.0, 2128725.0, 2329370.0, 2017299.0]",3.4.5
63341194,18906,T10,text_reducer,"[['no', 'no', 'no', 'no'], ['pH', 'pH', 'pH', 'pH'], ['set', 'set', 'set', 'set'], ['available', 'available', 'available', 'available']]",4.0,4.0,no pH set available,"[False, False, False, False]","[2295748.0, 2128725.0, 2329370.0, 2017299.0]",3.4.5
63341194,18906,T11,text_reducer,,,,,,,3.4.5
63341194,18906,T12,text_reducer,,,,,,,3.4.5
63341194,18906,T13,text_reducer,,,,,,,3.4.5
63341194,18906,T15,text_reducer,"[['None', 'None', 'None', 'None']]",4.0,4.0,None,"[False, False, False, False]","[2295748.0, 2128725.0, 2329370.0, 2017299.0]",3.4.5
63341195,18906,T0,text_reducer,"[['Yes', 'Yes', 'Yes', 'Yes']]",4.0,4.0,Yes,"[False, False, False, False]","[2000370.0, 1484814.0, 2324166.0, 2123358.0]",3.4.5
63341195,18906,T1,text_reducer,,,,,,,3.4.5
63341195,18906,T2,text_reducer,,,,,,,3.4.5
63341195,18906,T3,text_reducer,,,,,,,3.4.5
63341195,18906,T4,text_reducer,,,,,,,3.4.5
63341195,18906,T5,text_reducer,"[['63.2', '63.2', '63.2', '63.2']]",4.0,4.0,63.2,"[False, False, False, False]","[2000370.0, 1484814.0, 2324166.0, 2123358.0]",3.4.5
63341195,18906,T6,text_reducer,"[['36', '36', '36', '36'], ['feet', 'feet', 'feet', 'feet']]",4.0,4.0,36 feet,"[False, False, False, False]","[2000370.0, 1484814.0, 2324166.0, 2123358.0]",3.4.5
63341195,18906,T7,text_reducer,"[['4', '4'], ['ft?', '']]",2.0,1.5,4 ft?,"[False, False]","[1484814.0, 2123358.0]",3.4.5
63341195,18906,T10,text_reducer,"[['pH', 'pH', 'pH', 'ph'], ['5.8-6.0', '5.8-6.0', '5.8-6.0', '5.8-6.0']]",4.0,3.5,pH 5.8-6.0,"[False, False, False, False]","[2000370.0, 1484814.0, 2324166.0, 2123358.0]",3.4.5
63341195,18906,T11,text_reducer,"[['Yes', 'Yes', 'Yes', 'Yes']]",4.0,4.0,Yes,"[False, False, False, False]","[2000370.0, 1484814.0, 2324166.0, 2123358.0]",3.4.5
